"","categorie","intitule_offre","description_offre"
"77","DATA ENGINEER","DATA ENGINEER (H/F)","Nous recherchons pour un de nos clients qui est dans le domaine bancaire un Data Engineer. 

Objectifs de la mission et tâches 

Récupérer les données issues de sources externes 
- Utiliser la puissance du Datalake 
- Produire et mettre à disposition automatiquement des agrégats journaliers, hebdomadaires et mensuels. 

Mise en oeuvre de la chaîne : 
o d'ingestion de données, 
o de validation de données, 
o de croisement de données, 
o de déversement dans le datalake des données enrichies 


- Développer dans le respect des règles d'architecture définies 
- Développer et documenter les user stories avec l'assistance du Product Owner. 
- Produire les scripts de déploiement 
- Prioriser les corrections des anomalies 
- Assister les équipes d'exploitation 
- Participer à la mise en oeuvre de la chaîne de delivery continue 
- Automatiser les tests fonctionnels 

Aspects Humains : 
- Grande capacité à travailler dans une équipe, en mode Scrum / Kanban. 
- Bonnes compétences relationnelles et grand sens de la communication (capacité à entrer dans le détail). 
- Sensible et informé des évolutions technologiques sur les piles logicielles pratiquées. 

Connaissances techniques : 
- Stockage : HDFS / GCS 
- Traitement : Maitrise de l'écosystème Spark / Kafka / Scala 
- Planification : Airflow / Composer 
- Gouvernance : Apache Atlas / Hive 
- Méthodologies : Scrum, Kanban, Git 
- DWH : SQL, Oracle / BigQuery 
- Delivery : Git, Ansible, Docker, Terraform, Jenkins / Cloud Build 
- La connaissance de la plateforme Data GCP est un plus

Vous aimez le travail d'équipe, savez être autonome et prendre des initiatives. Vous savez comprendre et vous faire comprendre. Vous aimez répondre à des problématiques de qualité et de performance."
"78","DATA ANALYST","DATA ANALYST DEVELOPPEUR (F/H)  (H/F)","Sous la responsabilité du Directeur des Systèmes d'Information et du Numérique et en étroite collaboration avec les directions métiers, vous contribuez par l'analyse quantitative des données existantes et l'identification des sujets nécessitant une exploitation de données aux décisions stratégiques de la SEPR. En tant qu'acteur majeur de l'organisation, vous venez en appui de l'ensemble des métiers de l'entreprise afin optimiser les actions en tirant le meilleur parti des données qui sont à la disposition des professionnels. 

A ce titre, vos principales missions sont : 
-	Traduire et synthétiser les informations pour les rendre accessibles et permettre d'orienter les prises de décisions,
-	Proposer et apporter un regard analytique sur des problématiques métiers :
o	Travailler en collaboration et avec les équipes métiers,
o	Dégager des indicateurs utiles,
o	Créer des tableaux de bords,
o	Contrôler la qualité des données,
-	Mettre en forme les résultats des études statistiques, proposer des plans d'action et réaliser des supports de présentation,
-	Administrer et optimiser les bases de données, 
-	Mettre en place des processus/requêtes et automatisation,
-	Mener des études approfondies afin de répondre aux besoins de la SEPR et documenter les travaux réalisés.

Profil : De formation supérieure en école d'ingénieur, école d'informatique ou Master spécialisé dans la Data Science ou Intelligence Artificielle, vous maitrisez parfaitement le langage informatique et les outils statistiques. Vous avez une expérience exigée minimum de 5 ans dans le data en centre de formation. Vous avez une bonne connaissance technique des bases de données SQL et des outils de Business intelligence. Des notions dans d'autres langages de programmation ou d'analyse (Batch, PowerShell, JavaScript, Python ) seraient appréciées. Vous avez une grande capacité d'adaptation, un très bon relationnel. Votre capacité à analyser et à comprendre les enjeux stratégiques de l'organisation est essentielle.

Type de contrat : Contrat à durée indéterminée et à temps complet (35h/ semaine). Statut cadre. Poste à pourvoir dès que possible. Poste basé à Lyon.

Rémunération : selon profil.

Avantages : 13ème mois, tickets restaurant, mutuelle, remboursement des frais de transport en commun à 80%, accord annuel d'intéressement ...

Afin de garantir le traitement de votre candidature, veuillez préciser la référence DAD-LYO81 dans l'objet de votre e-mail accompagné de votre cv et d'une lettre de motivation."
"80","DATA ANALYST","866 - DATA ANALYST (H/F)","*** à compétences égales priorité aux bénéficiaires d'emploi ayant une reconnaissance en qualité de travailleurs handicapés ***

Nous recherchons pour l'un de nos clients sur Toulouse un Data analyst (H/F).

Description de la mission : 
Créer, administrer, analyser le big data, autrement dit les données d'une entreprise, afin de favoriser son fonctionnement et son développement.

Savoir Faire : 
- Les chiffres doivent constituer l'un de vos modes de langage privilégié (tableaux, graphiques, bilans...)
- Maîtriser parfaitement à la fois le langage informatique et les outils statistiques. 
- Comme toute activité nécessitant la manipulation de données chiffrées, vous devez être doté d'une extrême rigueur, d'un esprit d'analyse développé et d'une organisation à toute épreuve. 
- La concentration représente également l'une des aptitudes indispensables pour faire un bon analyste de données. 

Détail des tâches :
- Maîtriser les outils statistiques et les informations nécessaires à la mise en place d'une base de données, 
- Gérer parfaitement les différentes technologies spécifiques au big data
- Trouver des sources de données pertinentes,
- Extraire les données du système source,
- Extraire et traduire des données business en données statistiques,
- Optimiser la segmentation client au travers de données de consommation,
- Modéliser et assurer les mises à jour régulières de la base de données,
- Contrôler la qualité des données,
- Analyser les informations chiffrées générées par l'activité de l'entreprise,
- Mettre en œuvre une data warehouse ""entrepôt de données""... aussi appelée DMP (Data Management Platform),
- Synthétiser et vulgariser les informations pour les rendre accessibles aux dirigeants de l'entreprise, 
- Proposer des recommandations sur les bases de données à modifier,
- Définir la cible des campagnes de marketing,
- Déterminer des tendances d'achat ou de consommation,
- Faciliter les prises de décision des entreprises en assurant un rôle de consultant.

Savoir être : 
- Respecter les règles de confidentialité client
- La maîtrise de l'anglais constitue également un pré-requis indispensable pour exercer dans un domaine fortement internationalisé.

Contrainte du poste de travail :
- Gestion du stress"
"83","DATA ANALYST","DATA ANALYST (H/F)","Description du poste :
Dans le cadre d'une stratégie globale du groupe de faire de la donnée un véritable vecteur de croissance, nous recherchons un data analyst au sein de la direction Data métier.
Le Data analyst travaille à l'enrichissement et à la correction du catalogue produit international d'Auchan Retail (dans le future le travail se fera sur d'autres catalogues de l'entreprise comme par exemple les sites), il travaille en collaboration avec les équipes métier, la DSI et certains de nos grands fournisseurs internationaux demain certains partenaires métier.
Il doit également être en capacité de réaliser les analyses nécessaires à l'après-vente des données que nous monétisons ainsi que d'assurer les sessions d'onboarding avec les grands industriels.
Il doit enfin assurer la veille (internet, revue de presse, outils internes, vie quotidienne,) pour identifier rapidement les diverses mutations du marchés ( les rachats/transferts de marques entre fournisseurs, innovations, etc.)
Les principales activités du Data analyst :
* Enrichir le catalogue produit
* Faire de la veille sur les périmètres produits qui lui sont affectés afin d'avoir des informations à jour en permanence.
* Faire des analyses de données
* Assurer les sessions d'onboarding des grands fournisseurs sur notre plateforme de partage de données
Description du profil :
Vous avez 3 à 4 ans d'expérience dans l'analyse de données.
Vous avez une première expérience de data analyst, et vous avez une appétence pour les produits.
Vous avez un état d'esprit positif et une ouverture d'esprit, vous savez vous montrer pugnace pour faire avancer ses sujets.
Vous êtes de nature curieuse, vous savez challenger les règles existantes et proposer des évolutions pour les améliorer.
Vous faites preuve de pédagogie.
Vous êtes rigoureux, précis, disposant d'un esprit d'analyse et de synthèse, vous êtes capable de traiter un grand nombre d'informations et de les vérifier soigneusement.
Vous êtes organisé, vous savez vous adapter, vous êtes capable de gérer plusieurs tâches à la fois dans le respect des délais.
Vous êtes orienté delivery et êtes capable d'évoluer dans un milieux international
Alors n'hésitez plus et postulez pour participer à une belle aventure d'entreprise !!!
Compétence technique requise :
* Utilisation des outils bureautiques
* Utilisation des outils d'analyse de données (Power BI, Tableau, Business objects)
* La connaissance de certains domaines produits et une appétence marketing seraient un plus.
Un niveau d'anglais permettant d'évoluer dans un contexte international est impératif. "
"84","DATA ANALYST","DATA ANALYST (H/F)","Description du poste :
Rejoignez un collectif animé par le goût du défi
Chez Cdiscount, nous sommes convaincus qu'un environnement de travail épanouissant contribue au développement de nos talents. Relevez nos défis et contribuez à connaître nos clients pour continuer à leur proposer la meilleure offre.
Explorez un champ des possibles sans équivalence
Vous rejoindrez la direction Data dont la mission est d'appuyer l'ensemble des métiers de l'entreprise afin optimiser leurs actions en tirant le meilleur parti des données qui sont à leur disposition. Au plus près des besoins métiers et en étroite collaboration avec les datascientists, vous contribuerez activement à la vie de l'entreprise et serez force de proposition pour identifier les sujets sur lesquels l'exploitation de la data est susceptible de lever des gains de productivité.
Plus précisément vos missions seront de :
* Réaliser des analyses statistiques et exploratoires
* Construire des dashboards de suivi des performances permettant la prise de décision efficace pour le business
* Participer à la définition, à la mise en place et à l'analyse des tests A/B menés sur votre domaine d'intervention
* Mener des études approfondies afin de mieux connaître nos clients, notre offre, . (en fonction de votre périmètre) et en proposer des modèles.
Les data analysts éclairent par leurs analyses quantitatives les décisions de l'entreprise. Ils sont sollicités sur des questions impactantes pour l'activité, par exemple : Quels sont les facteurs explicatifs du réachat ? Quel est l'impact de la qualité d'une fiche produit sur la conversion ? Quelle est l'influence de la météo sur la fréquentation du site ?
En rejoignant la direction data vous aurez la possibilité d'intervenir sur toute la variété des métiers proposés par un e-commerçant : marketing client, trafic, recouvrement, offre, merchandising, marketplace
Révélez votre talent
Vous êtes débutant ou bénéficiez d'une expérience de quelques années dans le domaine de l'analyse de données, idéalement dans le secteur internet.
Vous avez des compétences avancées en statistiques, maîtrisez les bases de données de type SQL et les langages de programmation (de préférence Python ou R).
Vous avez de bonnes capacités de communication et vous savez travailler en équipe.
Rejoindre Cdiscount, c'est intégrer une entreprise engagée et inclusive qui lutte contre toute forme de discrimination. Une opportunité d'exprimer ses talents et de révéler sa singularité.
Vous êtes persuadé que l'avenir appartient à celles et ceux qui osent faire bouger les lignes ? Nous aussi. Alors, Inventez-tout, Révélez-vous !
Venez développer vos compétences et votre employabilité dans un environnement de travail unique :
- Une carte ticket restaurant et de nombreux foodtrucks disponibles
- Une offre de formation innovante et à la pointe des nouvelles technologies
- Une conciergerie solidaire d'entreprise offrant des services diversifiés
- Des espaces de pause collaboratifs
- Un potager entretenu et choyé par nos collaborateurs
- Des corbeilles de fruits livrées régulièrement
- Un onboarding inédit
Informations complémentaires
Type de contrat: CDI
Localisation: Bordeaux (33)
Référence: 6408 "
"86","DATA ANALYST","DATA ANALYST - GINKO (H/F)","Nous recherchons un Data Analyst pour venir renforcer notre team.
Tu auras donc la responsabilité de :
Valorisation de la donnée dans le/les domaines métiers pour lesquels vous intervenez ;Réalisation d'analyses DATA pour aider les métiers à mieux comprendre leur business et à prendre les bonnes décisions ;Elaboration et automatisation de dashboards pour diffuser la data valorisée au sein de l'entreprise ;Identification et exploitation de nouvelles sources de données ;Partage et veille technologique autour des sujets de data analyses ;Participation aux cérémonies agiles de l'équipe. 


Mots clés : GCP, SQL, PowerBI, Data Studio, BigQueryVous avez à minima 3 ans d'expérience en tant que Data AnalystVous êtes à l'aise avec les technologies suivantes: GCP, SQL, Power BI, Data Studio...Vous avez un sens du service client et une curiosité des aspects métiers et entreprises. L'anglais n'est pas un problème pour vous. 
Si tu n'as pas besoin de C3PO pour comprendre R2D2 alors n'hésites pas, postule chez nous ! "
"87","DATA ENGINEER","2016-433 - DATA ENGINEER H/F","Métier : Informatique/Développeur

Contrat : CDI

Description du poste : 

SeLoger innove en permanence pour éclairer au mieux ses internautes et pour leur proposer une expérience simplifiée, agréable et instructive.

Au sein de l'équipe Data composée d'une vingtaine de personnes (DSI et Marketing), vous serez en charge de l'exploitation de la plateforme Hadoop de SeLoger.

Votre job :

-Participer à la définition et à l'évolution de l'architecture matérielle et logicielle Big Data
-Gérer l'administration de la plateforme
-Implémenter et optimiser les algorithmes en collaboration avec les Data Scientists :


Exemples :

-Matching de contenus et d'individus : cookie matching, agrégation de profils CRM, dédoublonnage d'annonces, dédoublonnage d'agences immobilières

-Moteurs de recommandation : algorithmes collaboratifs et item-based sur l'ensemble de nos contenus (annonces, articles, services, .)

-Segmentations marketing : en BtoC (types de projet immobilier, maturité du projet immobilier, appétence à nos services, .) et BtoB (potentiel, churn, pression marketing)

-Prédictif sur le marché de l'immobilier : estimation de bien, analyse de l'offre et de la demande

-Extraction de features : analyse sémantique de contenus d'annonces, taggage de photos

-Contrôler et organiser les données
-Contrôler la performance


Votre profil:

Diplôme d'ingénieur ou équivalent
3 ans d'expérience sur la plateforme Hadoop
Expertise technique sur Cloudera, Spark ; Hive, HDFS, Flume & Sqoop
Compétences utiles: Java, Scala, Python, Kafka, Oozie, Graph (Gremlin, Tinkerpop, GraphX)
Autonome, excellente capacité analytique, forte sensibilité pour le marketing

Bureaux situés à Paris. Rémunération motivante : Fixe sur 13 mois + variable + participation + intéressement



Lieu : 65 rue Ordener Paris
 "
"88","DATA SCIENTIST","DATA SCIENTIST (F/H) H/F","Créé en 2004 autobiz est une start-up innovante, leader des valeurs de marché dans le monde. Figure incontournable du conseil automobile basé sur la data en Europe, autobiz propose une large gamme d'outils destinés aux professionnels de la distribution, de la location et de l'assurance automobile, afin de développer leur business VO (véhicules d'occasion).autobiz met également ses compétences dans le domaine des valeurs de marché au service de clients internationaux, issus de secteurs d'activité variés (immobilier, emploi, événementiel.).Aujourd'hui basé à La Défense (92), autobiz dispose également de bureaux à Berlin, à Valence (Espagne) et Milan. Début 2017, le groupe Stellantis est entré au capital d'autobiz, renforçant ainsi sa position sur le marché automobile à l'international.Depuis 2018, autobiz a signé de nouveaux partenariats stratégiques avec des constructeurs automobiles incontournables (Nissan, Volvo, .).En 2020, autobiz a développé pour ses clients des solutions de reprises à distance et d'approvisionnement en VO, afin de répondre aux problématiques causées par la crise sanitaire.Pour plus d'informations ???? https://www.corporate.autobiz.com/ Vous venez de soutenir votre thèse de doctorat et recherchez votre première expérience ?En qualité de Data Scientist, vous participez à l'élaboration et au suivi des nombreux projets afin d'aider le pôle Data à se développer. A cet effet, vous serez amené(e) à interagir avec l'ensemble des parties prenantes de l'entreprise : équipes tech, commerciales, consulting, direction, etc.Vos missions principales :  1.  Contribuer au développement du Pôle Data -          Rédaction des cahiers des charges.-          Architecture base de données.-          Analyse des données automobiles pour plusieurs pays (15 millions d'annonces mensuelles).-          Élaboration de nouveaux KPIs de vérification (Crawl, Data brute, Data traitée);-          Automatisation des process actuels.-          Force de proposition dans le traitement de données.-          Développement de nouveaux produits (Modèles statistiques, modèles mathématiques de traitement de données, modèles approximatifs.). 2. Participer au bon fonctionnement et au développement de l'entreprise-          Vous vous intéressez à la vie d'autobiz et à son marché.-          Vous savez vous intégrer dans l'équipe et plus largement au sein d'autobiz.-          Vous développez une attitude professionnelle (innover, suggérer, conseiller, valoriser).-          Vous aimez la recherche appliqué et utilisez l'informatique pour manipuler des bases des données en utilisant des méthodes statistiques. Vous venez de soutenir votre thèse / êtes docteur et vous êtes à la recherche de votre 1ère expérience professionnelle.Vous êtes motivé(e) pour intégrer une structure à taille humaine en fort développement dans laquelle vous investir pleinement. Vous avez idéalement réalisé des stages dans le domaine du data mining, texte mining, recherches d'informations sur le web, intelligence artificielle.Compétences demandées :-          Maîtrise du SQL et de la modélisation des données.-          Maîtrise des langages de programmation (PHP, R ou Python, Shell).-          Maîtrise des algorithmes de traitement de masse de données. -          Maîtrise de l'anglais opérationnel.-          Connaissance des langages Perl, Ajax, Java script et/ou Awk serait un plus.-          Connaissance des outils de pilotage de projet serait un plus. "
"89","DATA ANALYST","DATA ANALYST - BRICKS (H/F)","Sous la responsabilité du Head of Data & AI, tu vas explorer et analyser les données en collaboration avec les opérationnels, les développeurs, et les commerciaux dans le but d'optimiser et fiabiliser les produits. Tu seras aussi amené à travailler sur la conception des Dashboards à destination des clients, et à participer à l'amélioration des algorithmes ML.
Plus concrètement tu seras en charge de
Fournir aux opérationnels et commerciaux des analyses et insights à partir des différentes sources de données brutesAider les développeurs dans la fiabilisation des produits en analysant les écarts de kpis et la qualité des données.Participer à l'amélioration et la fiabilisation des différents algorithmes ML qui pilotent la diffusion de nos campagnes et valorisent nos inventaires.Travailler avec le métier et la tech sur la conception et production des Dashboards des produits
Nos stacks Data
Les principalesLes secondairesPython / JupyterPandas, Scikit-learnSQL (Clickhouse)Grafana, Kibana ElasticsearchRedisDocker
Profil recherché

Tu es un véritable passionné des technologies Web et es force de propositionTu as le sens de l'excellence, du partageTu es ambitieux et a envie de faire partie d'une aventure entrepreneurialeTu as 2 ans d'expérience minimum en Data Analyse ou Data ScienceTu aimes fouiller dans la data brute pour en extraire de la valeurTu as un bon niveau d'anglais lu et écritOn te propose
Un projet ambitieux, audacieux et à fort potentielUne aventure challengeante Un développement personnel et professionnel Travailler avec un expert en AI (+11 ans d'expérience) et qui a une trentaine d'algo ML à son actifFaire partie de l'écosystème entrepreneurial du startup studio Bricks (3 startups regroupant 70 talents avec une vingtaine de recrutements en cours)Un restaurant d'entreprise (à Lille)La possibilité de travailler en remote
Prêt à rejoindre la Team Bricks ? Transmets-nous ton CV et poursuis le processus de recrutement
Si ta candidature est retenue, tu échangeras avec Stéphanie, notre HR Business Partner, dans le cadre d'un entretien de pré-qualification téléphoniqueTest Technique / AnalytiqueTu rencontreras ensuite Khalid, ton futur Manager, lors d'un entretien physique ou visioPour finir, tu rencontreras Benjamin, un des Associés fondateurs "
"90","DATA ANALYST","DATA ANALYST - BABABAM (H/F)","Ton poste en 2 lignes
Au sein de l'équipe du service PodInstall de Bababam, tu reportes directement au CEO !
Tu es garant des relations entre équipes produit et équipe tech. Tu es garant également du suivi des données de la plateforme, de leur optimisation. Ainsi, tu participeras au développement de la monétisation de Podinstall.
Plus concrètement :
Data/Opérations
Mise en place, optimisation et suivi des tableaux de bord, audiences, revenus, projectionsSuivi des indicateurs de performance et optimisation Recommandation d'optimisation pour augmenter le revenu des utilisateurs Travail avec le CTO sur le produit (recommandation d'optimisations algos, environnement publicitaire...) Recommandation de nouvelles fonctionnalités ou formats. Suivi statistiques et AB testingManagement d'un trafic manager, en charge de piloter les campagnes
Monétisation/Opérations 
Suivi de performancesAdaptation, et évolution des formatsPrésence à certains RDV clés pour développer les relations avec des annonceurs
Profil recherché
Tu as déjà travaillé pour une entreprise dans le secteur du digital et tu es à l'aise dans un environnement startupTu as 5 ans d'expérience sur un poste similaireTu as déjà managé une équipe Tu es diplômé d'un bac+5Tu fais preuve d'une grande rigueur et organisation personnelleTu as une grande conscience professionnelle et un sens aigu de la satisfaction clientTu as un bon niveau anglais, lu, écrit et parléOn te propose
Un projet ambitieux, audacieux et à fort potentielUn poste où tu seras responsable de bout en bout de tes clientsUn développement personnel et professionnelUne équipe de talents à taille humaine, à l'esprit entrepreneuriale axée sur l'excellenceUn cadre de travail moderne et innovant avec des locaux dans Paris 8 tout juste rénovésFaire partie de l'écosystème entrepreneurial du startup studio Bricks (3 startups regroupant 70 talents avec une vingtaine de recrutements en cours)La possibilité de travailler en remote
Prêt à rejoindre la Team Podinstall ? Transmets-nous ton CV et poursuis le processus de recrutement 
Si ta candidature est retenue, tu échangeras avec Stéphanie, notre HR Business Partner, dans le cadre d'un entretien de pré-qualification téléphoniqueTest de personnalité Assessfirst basé sur 3 piliers (Aptitudes, Motivations, Personnalité)Test Analytique / Google SheetTu rencontreras ensuite Pierre Fondateur de Bababam/Podinstall "
"91","DATA SCIENTIST","DATA SCIENTIST - KAPELA (H/F)","Recueillir et analyser les données pertinentes pour répondre au besoin métierConstruire les algorithmes permettant d'améliorer les résultats de recherches et de ciblageÉlaboration de modèles de prédictions afin d'anticiper les évolutions des données et des tendancesModéliser les résultats d'analyse des données au travers de tableaux de bord pour les rendre lisibles et exploitables par les métiersEffectuer des recommandations business auprès de la direction et des métiers afin d'améliorer la prise de décisionAssurer une veille technologique (collecte de données, plateformes de traitement, expérimentation)Titulaire d'un Bac+5 informatique avec idéalement une spécialisation big data, vous justifiez de 3 à 5 ans d'expérience en tant que Data scientist. Votre expertise ne se limite pas à la durée de vos expériences professionnelles, mais au travail et aux résultats apportés.
Sur le plan technique vous maitrisez :
Les langages de programmation : Python, R, JavaLes bases de données SQL et NoSQLLes technologies Data : Hadoop, Spark, Hive, Scala, KafkaLe Machine, le Deep Learning et les technos associéesLes statistiques et la modélisation des donnéesLes principes d'architecture informatique
Doté d'un esprit critique et d'une forte curiosité, vous êtes proactif, autonome et rigoureux.
Vos capacités d'analyse et de synthèse, vos aptitudes relationnelles et votre sensibilité métier sont vos alliés pour réussir pleinement dans votre rôle. "
"93","DATA ANALYST","DATA ANALYST - BONPOINT (H/F)","Au sein du département Merchandising de l'Offre, vous travaillerez étroitement avec les différents services Produit, Studio, marchés et la Direction, et aurez pour mission d'accompagner par la réflexion, la revue des process et les outils, le processus d'élaboration des collections, de la conception à la livraison entrepôt.
    Revue des process :

- Garantir la simplification, la fiabilité et la fluidité des informations entre les différents services, en repensant les process mis en place de l'amont de la création de collection jusqu'à sa livraison entrepôt ;- Etre le référent métier des systèmes d'information (PLM et Orli) et des outils utilisés par les équipes de l'Offre tout en assurant leur vulgarisation auprès des collaborateurs des différentes équipes.

Analyses :
- Accompagner les équipes sur tous les projets structurants et/ou stratégiques ;- Proposer des formats de reporting performants d'analyses des achats et des ventes, des bilans saisonniers quantitatifs et qualitatifs et mettre en place le suivi d'indicateurs clés;- Communiquer des analyses de collection de façon récurrente aux différents services;- Mettre en place des bilans produits, matières, fournisseurs ;- Suivre les indicateurs clés de nos engagements RSE.
Produits/Collections/Achats :
- Participer à la construction des plans de collections, le suivi et la mise à jour de ceux-ci ;- Soutenir la codification des collections dans PLM, la mise en place et le suivi d'indicateurs de performance ;- Optimiser la création des outils de vente (books de collection, présentations thèmes et silhouettes clés).
Cette liste n'est pas limitative et peut évoluer en fonction des besoins de l'entreprise.
Poste à pourvoir en CDD de 6 mois.Doté(e) d'une solide première expérience en conseil, audit et/ou gestion de projet, vous souhaitez évoluer dans un contexte en transformation, au contact d'équipes pluridisciplinaires.
Vos principaux atouts pour réussir cette mission seront votre capacité à comprendre et analyser votre environnement, votre force de proposition, votre pédagogie, votre curiosité, votre esprit d'équipe et vos qualités relationnelles. 
Enfin, votre forte appétence pour les chiffres et les outils est indispensable à votre épanouissement dans la fonction. "
"94","DATA ANALYST","DATA ANALYST (H/F)","Description du poste

Data analyst (H/F)

 

Adsearch, cabinet de conseil en recrutement, vous propose un poste de Data Analyst pour rejoindre son client final basé en région Lyonnaise.

 

Vos missions :

 * Intégration de données et définition de cahier des charges pour les projets clients
 * Formation, assistance et rédaction de livrables documentaires
 * Création d'applicatifs BI et tests
 * Réalisation de tests sur les applicatifs et développements spécifiques, migration de données

Profil :

 * Bac+5 en informatique, statistique ou mathématique
 * Maitrise du langage SQL
 * Maitrise d'un outil BI (Qlik, Power BI, SAP BO.)
 * Anglais courant

Le poste :

 * CDI à pourvoir en région lyonnaise
 * Rémunération selon profil et expérience "
"95","DATA ANALYST","DATA ANALYST - HESPERIE CONSEIL (H/F)","Le projet se base dans un contexte de transition de SI, notre client (une grande BFI prestigieuse) utilise Fenergo qui a été adapté et intégré au SI interne. La solution comprend aussi un ensemble de développement internes : dashborard, reports, KPI, Portail Web Client.
Le projet touche environ 1500 utilisateurs sur l'ensemble des plateformes : Europe, US, APAC et l'ensemble des fonctions de la banque FO, BO, compliance.
Le consultant sera intégré à l'équipe du projet pour travailler en tant que Business Analyst sur l'application: les évolutions Fenergo et les développements internes, intégration de Fenergo au SI de la CIB et framework de Reports opérationnels et Compliance.Cette équipe est basée entre Paris et le Portugal sous la responsabilité du Delivery Leader et en lien avec les Products Owner et les métiers FO, Compliance et Operation, l'éditeur Fenergo et les leaders fonctionnels et techniques du domaine KYC.

 
  Le consultant interviendra sur les   sujets suivants 
  - les évolutions fonctionnelles de l'application Fenergo 
  - le suivi et les évolutions du stream Reports 
  
  Les compétences et expériences demandées sont: 
  - Une expérience réussie en tant que Business Analyst, en mode Agile, dans le   domaine de la BFI, sur les domaines KYC ou Client si possible.- Une expérience réussie de collaboration avec un éditeur de logiciel.
  - Rigueur et clarté.
  - Bonne communication.
  - Très bon niveau d'anglais.
Toutes les compétences relatives au métier de BA/MOA en BFI.
 
 "
"96","DATA ANALYST","DATA ANALYST - MYLIGHT SYSTEMS (H/F)","Dans le cadre d'une création de poste, MyLight Systems recherche un(e) Data Analyst Facturation en fourniture d'énergie verte. 
L'objectif de ce poste est de superviser la facturation des sites de notre offre de fourniture d'énergie 100% verte à destination de nos clients auto-consommateurs solaire.

Vos missions :
Intégrer les données dans notre outil de facturation (flux XML)Analyser les erreurs d'intégration pour appliquer les correctifs nécessaires dans les fluxSuperviser le lancement des batchs de facturation et d'échéanciersPiloter le suivi de facturation clients avec la gestion des éventuelles erreursFaire évoluer les process de gestion pour couvrir les nouveaux besoins de l'activitéEchanger avec nos équipes de développement pour faire évoluer les outils.

Le poste est basé à Jonage (69).Issu(e) d'une école de commerce (ou équivalent) ou d'ingénieur, vous avez idéalement une expérience dans un environnement exigeant à votre actif, de préférence avec une forte composante data.
Une parfaite maitrise d'Excel avec VBA est nécessaire. La connaissance d'autres langages de programmation peut être intéressante dans une logique de compréhension de flux informatiques (JSON/XML).
Rejoignez-nous ! "
"97","DATA SCIENTIST","DATA SCIENTIST H/F","INFORMATIONS GENERALES
ORGANISATION
Nous rejoindre, c'est intégrer une entreprise d'envergure mondiale. Mû par la recherche permanente de l'innovation et de l'excellence, pionnier et leader des technologies propres et de la mobilité durable, le Groupe entend rester à la pointe des grandes tendances qui font bouger le monde.

Fort de son efficience, de son agilité et de son esprit d'équipe, le Groupe fait preuve d'exigence et d'audace pour définir la mobilité de demain.

Pour réussir ces transformations, l'entreprise a besoin de tous les talents. Rejoignez-nous !

REFERENCE
2021-10366

DATE DE PARUTION
20211108

DESCRIPTION DU POSTE
SPECIALITE / EMPLOI
Digital And Data Engineering
Pilotage Du Si

INTITULE DE POSTE
Data Scientist H/F

DESCRIPTION DE LA MISSION
Vous serez chargé(e) de la refonte et l'automatisation des indicateurs de pilotage. Pour cela, vous serez amené(e) à :
- Développer des outils issus des extractions 
- Rendre ces outils intuitifs et avec une maintenance aisée afin de les pérenniser

La mission pourra être réalisée partiellement en télétravail.

PROFIL
BAC + 5 Data Scientist 
Power BI, VBA, Office

TYPE DE CONTRAT STANDARD
Stage

LOCALISATION DU POSTE
Pays
Europe, France, Franche-Comté, 

Ville
SG

 "
"98","DATA ANALYST","DATA ANALYST (H/F)","Compass Group France recherche son futur CRM Data Analyst (H/F) pour sa Direction des Partenariats Stratégiques.
- CDI
- Poste à pourvoir immédiatement
- Localisation : Châtillon (92) de préférence

Au sein de la Direction des Partenariats Stratégiques et plus spécifiquement l'équipe CRM, votre rôle consiste à :
- Administrer les CRM afin d'améliorer la qualité et la mise à disposition des données :Audit de la base de donnée,
- Définir et exécuter les contrôles de qualité sur les données,
- Fiabiliser la base de donnée,
- Accompagner des modifications structurelles et les évolutions du Dashboard et du CRM.

- Accompagner l'équipe dans l'analyse et la prise de décisions stratégiques,
- Développer la culture du data et travailler à l'amélioration continue de l'outils,
- Maintenir et développer les outils de reporting et de synthèse des données, destinés aux équipes commerciales, aux fonctions supports et au Comex,
- Développer l'automatisation de traitements routiniers à l'aide de workflows,

De formation Bac +5, vous justifiez d'une première expérience réussie en gestion de base de données.
Excellente maitrise de la suite Office 365 (en particulier Excel - fonction standard et PowerBi)
Ce poste requiert une maitrise parfaite de VBA Excel.
La maitrise de l'anglais est un plus.
Qualités : Rigueur, Autonomie, Dynamisme, Volonté d'innover et gout du challenge.
Ce poste est fait pour vous ? Rejoignez-nous! "
